,index,全部回测爆仓,全部回测收益,70回测爆仓,70回测收益,30验证爆仓,30验证收益
0,"['15T', 40, 1.5, 2.0]",,5.2206866818330075,,5.2206866818330075,,0.568339299500513
1,"['10T', 40, 1.5, 2.0]",,4.956303536613512,,4.956303536613512,,0.6338676103258656
2,"['15T', 30, 1.5, 2.0]",有爆仓,1.8824858777631093,有爆仓,1.8824858777631093,,0.30268326537369916
3,"['10T', 40, 1.0, 2.0]",,0.3466667159156471,,0.3466667159156471,,0.20128061789395618
4,"['15T', 40, 0.5, 2.0]",,0.1437644551275492,,0.1437644551275492,,0.12237665779336507
5,"['15T', 40, 1.0, 2.0]",,0.11781068108437227,,0.11781068108437227,,0.11879129457753283
6,"['5T', 40, 1.5, 2.0]",,0.03657363393497221,,0.03657363393497221,,0.040975157103137365
7,"['10T', 30, 1.5, 2.0]",有爆仓,0.022232800462023097,有爆仓,0.022232800462023097,,0.4166508930057692
8,"['10T', 40, 0.5, 2.0]",有爆仓,0.017145877503548394,有爆仓,0.017145877503548394,,0.03077907248573321
9,"['15T', 30, 1.0, 2.0]",,0.015540506885977958,,0.015540506885977958,,0.062134383407261566
10,"['10T', 20, 0.5, 2.0]",有爆仓,0.015118231014376945,有爆仓,0.015118231014376945,,0.012608927376260239
11,"['5T', 30, 0.5, 2.0]",,0.01298325363321398,,0.01298325363321398,,0.022651857870197748
12,"['10T', 20, 1.5, 2.0]",有爆仓,0.010049703849460379,有爆仓,0.010049703849460379,,0.04703075482644172
13,"['5T', 40, 0.5, 2.0]",有爆仓,0.009404185347949194,有爆仓,0.009404185347949194,,0.022884714844630564
14,"['5T', 40, 1.0, 2.0]",有爆仓,0.008911128771842388,有爆仓,0.008911128771842388,,0.03748593705147866
15,"['5T', 30, 1.5, 2.0]",,0.00619802329122184,,0.00619802329122184,,0.04134808495959328
16,"['5T', 30, 1.0, 2.0]",有爆仓,0.005158892548702199,有爆仓,0.005158892548702199,,0.01829453921620273
17,"['15T', 20, 1.5, 2.0]",有爆仓,0.0036258270387608967,有爆仓,0.0036258270387608967,,0.20819600762699234
18,"['15T', 30, 0.5, 2.0]",有爆仓,0.0018680531778715475,有爆仓,0.0018680531778715475,,0.06340449051136078
19,"['10T', 30, 0.5, 2.0]",有爆仓,0.0015777006752573193,有爆仓,0.0015777006752573193,,0.014525753255534358
20,"['15T', 20, 1.0, 2.0]",有爆仓,0.0006665230206960145,有爆仓,0.0006665230206960145,,0.03990546390512456
21,"['10T', 30, 1.0, 2.0]",有爆仓,0.000499259889892521,有爆仓,0.000499259889892521,,0.06218843305658855
22,"['10T', 20, 1.0, 2.0]",有爆仓,0.0004357616688954997,有爆仓,0.0004357616688954997,,0.007235998220637262
23,"['5T', 20, 1.5, 2.0]",有爆仓,7.286569183536946e-05,有爆仓,7.286569183536946e-05,,0.014543315558317865
24,"['15T', 20, 0.5, 2.0]",有爆仓,4.101841887946891e-05,有爆仓,4.101841887946891e-05,,0.011883936743246566
25,"['5T', 20, 1.0, 2.0]",有爆仓,6.6333647138426e-07,有爆仓,6.6333647138426e-07,,0.003385250567630182
26,"['5T', 20, 0.5, 2.0]",有爆仓,-2.938068132795621e-10,有爆仓,-2.938068132795621e-10,,0.00030812997334149424
